Group,Component,Category,Sequence ID,Test Case Type,Pairwise Config Profile,Pairwise Auto Generate Sub Test Case,Test Automation Configuration - Test Sets,Test Case ID,External Test Case ID,Name,Description,Sub Test Case Parameter,Owner,Subsystem Solution,Priority,Test Type,Test Level,Status,Automation,Test Environment,Test Procedures,Step Expected Result,Pre-Condition,Post-Condition,Execution Time,Test Script ID,Operating Systems,Platforms,RTM ID,Portfolio,Add Tags,Item Type,Project,Api ID,Ssh Wrapper Configuration - Ssh Wrapper Steps,
GFX,LIN_MEDIA,F,GST_MSDK_REN_H264,M,,No,Test Set 3,LIN_MEDIA-FGST_MSDK_REN_H264-M,,GST MSDK Rendering H264 ,To validate the hardware accelerated decode of H264 for GST-MSDK with specific FPS and resolution in Weston,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Simics
2. weston --tty=2 --idle-time=0 &","1. Run the Gstreamer with MSDK Plugin for rendering with its required parameters
2. Playback the videos","1. Video FPS will drop due to simics limitation
2. Video playback will not be smooth due to simics limitation
3. Video playback has no corruption
4. System does not hang or freeze
5. <To support with screenshot in future>",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 3,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264-M-001,,"H264 Video Rendering- Profile: Main@L3, Bitrate: 1.25MBPS, Framerate: 30 fps, Format: H264, Width: 640, Height: 320",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H264-002 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. weston --tty=2 --idle-time=0 &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_640x320_1.25mbps_30fps_Main@L3.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264-M-002,,"H264 Video Rendering- Profile: Main@L3.1, Bitrate: 1.75MBPS, Framerate: 30 fps, Format: H264, Width: 800, Height: 600",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H264-003 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. weston --tty=2 --idle-time=0 &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_800x600_1.75mbps_30fps_Main@L3.1.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264-M-003,,"H264 Video Rendering - Profile: Main@L4.1, Bitrate: 6.25MBPS, Framerate: 60 fps, Format: H264, Width: 1280, Height: 720",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H264-004 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. weston --tty=2 --idle-time=0 &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_1280x720_6.25mbps_60fps_Main@L4.1.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H264-M-004,,"H264 Video Rendering - Profile: Main@L5.1, Bitrate: 30MBPS, Framerate: 60 fps, Format: H264, Width: 1920, Height: 1080",,--desktop weston_4k --video_id GSTMSDK_REN_EHL-H264-007 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Simics
2. weston --tty=2 --idle-time=0 &",gst-launch-1.0 filesrc location=/media/H264_Videos/Skyfall_1920x1080_30mbps_60fps_Main@L5.2.mp4 ! qtdemux ! h264parse ! msdkh264dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
GFX,LIN_MEDIA,F,GST_MSDK_REN_H265_8bit_X11,M,,No,Test Set 4,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M,,GST MSDK Rendering H265 8-bit X11,To validate the hardware accelerated decode of H265 8-bit for GST-MSDK with specific FPS and resolution in X11,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &","1. Run the Gstreamer with MSDK Plugin for rendering with its required parameters
2. Playback the videos","1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 4,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M-001,,"H265 Video Rendering - Profile: main@L3, Bitrate: 2MBPS, Framerate: 60fps, Format: H265, Width: 640, Height: 320",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H265-002 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Canal_640x320_2mbps_60fps_Main_at_L3.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M-002,,"H265 Video Rendering - Profile: main@L3.1, Bitrate: 3MBPS, Framerate: 60fps, Format: H265, Width: 800, Height: 600",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H265-004 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/GoneGirl_800x600_3mbps_60fps_Main_at_L3.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M-003,,"H265 Video Rendering - Profile: main@L4.1, Bitrate: 38MBPS, Framerate: 30fps, Format: H265, Width: 1920, Height: 1080",,--desktop xterm_1080 --video_id GSTMSDK_REN_EHL-H265-006 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Puppies_1920x1080_38mbps_30fps_Main_at_L4.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M-004,,"H265 Video Rendering - Profile: main@L5, Bitrate: 12MBPS, Framerate: 30fps, Format: H265, Width: 3840, Height: 2160",,--desktop xterm_4k --video_id GSTMSDK_REN_EHL-H265-010 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Fireworks_3840x2160_12mbps_30fps_Main_at_L5.0.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit_X11-M-005,,"H265 Video Rendering - Profile: main@L6.1, Bitrate: 3MBPS, Framerate: 60fps, Format: H265, Width: 7680, Height: 4320",,,,,P2-Medium,Functional,Component,Approved,No,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Coastguard_7680x4320_3mbps_60fps_Main_at_L6.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1.	Video FPS is expected to drop in TGL.
2.	Video playback is expected to be not as smooth.
3.	Video playback has no corruption.
4.	System does not hang or freeze.",,,5,0,,,940558,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
GFX,LIN_MEDIA,F,GST_MSDK_REN_H265_8bit,M,,No,Test Set 5,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M,,GST MSDK Rendering H265 8-bit ,To validate the hardware accelerated decode of H265 8-bit for GST-MSDK with specific FPS and resolution in Weston,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Functional,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &","1. Run the Gstreamer with MSDK Plugin for rendering with its required parameters
2. Playback the videos","1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 5,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M-001,,"H265 Video Rendering - Profile: main@L3, Bitrate: 2MBPS, Framerate: 60fps, Format: H265, Width: 640, Height: 320",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H265-002 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Canal_640x320_2mbps_60fps_Main_at_L3.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M-002,,"H265 Video Rendering - Profile: main@L3.1, Bitrate: 3MBPS, Framerate: 60fps, Format: H265, Width: 800, Height: 600",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H265-004 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/GoneGirl_800x600_3mbps_60fps_Main_at_L3.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M-003,,"H265 Video Rendering - Profile: main@L4.1, Bitrate: 38MBPS, Framerate: 30fps, Format: H265, Width: 1920, Height: 1080",,--desktop weston_1080 --video_id GSTMSDK_REN_EHL-H265-006 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Puppies_1920x1080_38mbps_30fps_Main_at_L4.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M-004,,"H265 Video Rendering - Profile: main@L5, Bitrate: 12MBPS, Framerate: 30fps, Format: H265, Width: 3840, Height: 2160",,--desktop weston_4k --video_id GSTMSDK_REN_EHL-H265-010 --ip_address $ip -$gen -ehl,,,P2-Medium,Functional,Component,Approved,,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Fireworks_3840x2160_12mbps_30fps_Main_at_L5.0.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1. Video do not have any corruption
2. Video can be play back smoothly
3. System does not freeze or hang",,,5,0,,,939255,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
,,,,,,,,LIN_MEDIA-FGST_MSDK_REN_H265_8bit-M-005,,"H265 Video Rendering - Profile: main@L6.1, Bitrate: 3MBPS, Framerate: 60fps, Format: H265, Width: 7680, Height: 4320",,,,,P2-Medium,Functional,Component,Approved,No,"1. Download and install the latest Yocto BSP
2. startx &",gst-launch-1.0 filesrc location=/media/H265_Videos/Coastguard_7680x4320_3mbps_60fps_Main_at_L6.1.mkv ! matroskademux ! h265parse ! msdkh265dec ! msdkvpp ! glimagesink,"1.	Video FPS is expected to drop in TGL.
2.	Video playback is expected to be not as smooth.
3.	Video playback has no corruption.
4.	System does not hang or freeze.",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
GFX,LIN_MEDIA,F,GST_MSDK_SEQ_ENC_PERF,M,,No,Test Set 6,LIN_MEDIA-FGST_MSDK_SEQ_ENC_PERF-M,,GST MSDK Sequential Encode Performance,To collect the performance data of sequential encoding in MSDK,,benjamin.ben-jie.khaw@intel.com,,P2-Medium,Performance,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &","1. startx
2. gst-launch-1.0 filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false  (8 videos simultaneously)","1. Video encoding success.
2. Video playback has no corruption.
3. System does not hang or freeze.
4. Data is collected and printed in stdout",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",Folder,Project,,Ssh Wrapper Step 6,
,,,,,,,,LIN_MEDIA-FGST_MSDK_SEQ_ENC_PERF-M-H264-001,,Sequential Encode: H.264/AVC - 1080 to 4k,,--list=/home/root/gfx-scripts/yocto/media/data/performance/gstmsdk_seqencode_h264_vdenc.csv,,,P2-Medium,Performance,Component,Approved,Yes,"1. Download and install the latest Yocto BSP
2. startx &","1. startx
2. gst-launch-1.0 filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false filesrc location=/media/RAWS/test_14_1920x1080_NV12.yuv ! videoparse width=1920 height=1080 format=nv12 framerate=60/1 ! msdkh264enc low-power=true ! fpsdisplaysink video-sink=fakesink signal-fps-measurements=true text-overlay=false sync=false  (8 videos simultaneously)","1. Video encoding success.
2. Video playback has no corruption.
3. System does not hang or freeze.
4. Data is collected and printed in stdout",,,5,0,,,,,"embedded, Client, FuSa, Industrial, Media",TestCase,Project,,,
